Gandalf Index,Maximum Similarity,Closest Training Index
7479,0.1988861041963288,4802
8398,0.15456394947428742,2828
9760,0.19659160107884566,12511
13213,0.15554122562997896,15655
10190,0.19341904830642487,15211
6666,0.13041252135784098,3283
4652,0.13961321197013854,131
3551,0.18869601174221873,14733
2514,0.16504214323313704,3348
7227,0.1526209791318367,14809
15430,0.36459152848262233,11268
10216,0.11500618104222793,1182
4458,0.1885524256689679,14019
13256,0.13504536247283516,12602
12550,0.20576418223011084,6590
3504,0.15292492828048054,9555
549,0.1646830766288201,9526
5654,0.17235310093884348,12317
10282,0.21983455793120465,4440
12715,0.11874001784088672,15998
361,0.14793995685185857,4055
9143,0.10952858934979604,6358
9124,0.09775635053040821,2849
885,0.32853658144294473,7451
15408,0.26351645659027423,8815
12696,0.22384277592242496,13977
389,0.10608004049035136,13491
6761,0.16281992436039638,13618
16004,0.1335783207268343,4335
13928,0.10783331547772401,14809
15932,0.2618760434445415,5124
8778,0.16215644144142327,6948
10211,0.11990663768035992,15228
5243,0.16586514566136568,7382
9144,0.2011310004850866,12044
7752,0.15500575233429092,6308
13782,0.19365110119807516,8428
1305,0.19745813022757996,14733
3483,0.1683090994025076,5859
11123,0.1707460063861752,10485
13124,0.18098591111183893,3301
5161,0.11897165973749813,4063
5967,0.18682740520292795,3564
4037,0.1088600052264258,12412
4175,0.15715013751794915,12310
13308,0.17953481837598062,5160
15486,0.2257969262432149,3348
14688,0.226960790676201,1526
7161,0.17958325356590643,1488
15199,0.14035155485540562,7842
14518,0.1710864872630805,10166
12858,0.12687036840880472,15365
3017,0.1523315865474364,8528
11797,0.1950303455536203,13977
11501,0.13810747397120526,5632
9185,0.15470800466828172,2910
13705,0.12406018094577032,15668
15970,0.301920243456945,11257
4875,0.14856016395384797,1562
14320,0.28592081982311124,4465
6697,0.1718515568809631,12974
9501,0.12229093598145613,3250
12077,0.2604337154423806,7259
11512,0.12411340499490664,3430
2094,0.16434992847238017,4676
15323,0.1906580519428296,472
7407,0.2535936052889609,7930
14895,0.3706334148412457,12495
4883,0.2636454263062471,14086
4216,0.19385620002677417,8246
13040,0.19629837835348796,1941
10698,0.18684206791469937,7172
12969,0.15272276607623292,8752
6711,0.17548060175649294,2832
5031,0.13224140139651774,15641
12607,0.28846051300674747,14713
10624,0.18413015257771392,1973
3520,0.2435398462210826,5542
2909,0.15516348895080778,10307
9509,0.12245231985172245,9172
12152,0.17484424457326342,12865
14005,0.2423598025203857,14614
5276,0.19673494569457106,15154
5297,0.18488991093597118,4032
15762,0.14885241875605426,2269
5814,0.2675838843972106,9636
7038,0.14659800766464914,15447
4361,0.17961733099207045,12671
2795,0.1778084132903871,4063
6716,0.26723400277390097,12171
6837,0.1314204979898167,4821
4654,0.17211610570105185,8307
2761,0.15673101005225165,5494
7677,0.2001840487626827,2981
14999,0.13939814206687862,12592
11980,0.3028956825536493,1991
14578,0.17311873168451908,3188
15900,0.22358493755858166,3053
10608,0.17009114259278713,8323
6699,0.23938370831893507,13023
1363,0.23587119092351483,119
5063,0.16919179384962268,5759
10599,0.11236502801819825,15905
13644,0.24252495011495168,6719
14219,0.192149642762927,14743
2199,0.18414524916795882,7368
15161,0.11603388064335718,5484
8985,0.16728099375994054,12333
9457,0.2361460705562115,13223
5671,0.17308590024917292,1148
14420,0.1340659193831174,6031
6142,0.15298415689550215,9963
10458,0.1772316111336728,3947
15306,0.11197106601438511,2812
642,0.22987291783390607,8472
2568,0.17603315179509615,5351
12973,0.19963627966101727,2855
3066,0.23304433419933512,1704
3964,0.19083945142774017,15242
3230,0.20326334422685477,5223
13875,0.1688869024069577,14378
15253,0.10583774629879728,5901
15328,0.13304241112723547,10695
8775,0.18490410606833807,14098
14702,0.16770529782964505,1037
99,0.17648558846132256,6237
3931,0.19620418848550625,6348
9504,0.14495313033636426,15485
8759,0.13928880448161707,14467
4397,0.15665075620734714,4992
623,0.22905053040633416,7369
13663,0.1907033825224097,7583
12460,0.1664201368164412,11401
1303,0.12808033147106712,4786
7242,0.138009011885034,8949
1641,0.18363889775881215,6291
14152,0.14550157232444938,3782
13842,0.16440993146879213,12317
7073,0.38869114086062595,7852
6740,0.14472215416726908,10611
1833,0.12278259025207727,1679
